Brewery,Address,zipcode,PhoneNumber,YelpRating,NumReviews,lat,lng,url,PopDensity,Population Density,LANDSQMI,MedianIncome,Median Income
El Nuevo Caridad,"1618 St Nicholas Ave, New York, NY 10040",10040,-2872,3,24,40.8553799,-73.92907,https://www.yelp.com/biz/el-nuevo-caridad-new-york-3?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,111,111184,0.4,43,42721
The Ginger Man,"11 E 36th St, New York, NY 10016",10016,-4483,4,1148,40.74945,-73.9827,https://www.yelp.com/biz/the-ginger-man-new-york?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,102,101814,0.5,105,105324
McSorleys Old Ale House,"15 E 7th St, New York, NY 10003",10003,-9832,4,1462,40.72884,-73.98965,https://www.yelp.com/biz/mcsorleys-old-ale-house-new-york?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,97,97188,0.6,93,92540
Paulaner,"265 Bowery, New York, NY 10002",10002,-1291,3.5,177,40.72341,-73.99246,https://www.yelp.com/biz/paulaner-new-york?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,93,92573,0.9,33,33218
Puebla's Chula,"167 E 106th St, New York, NY 10029",10029,-5618,3,1,40.7919399,-73.94513,https://www.yelp.com/biz/pueblas-chula-new-york?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,92,92116,0.8,32,31888
Chelsea Craft Brewing Company,"463 E 173rd St, Bronx, NY 10457",10457,-10051,2.5,137,40.8417422,-73.901452,https://www.yelp.com/biz/chelsea-craft-brewing-company-bronx-2?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,66,66425,1.1,25,24949
Kings County Brewers Collective,"381 Troutman St, Brooklyn, NY 11237",11237,-3896,5,14,40.70607388,-73.92360547,https://www.yelp.com/biz/kings-county-brewers-collective-brooklyn?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,51,50927,1,40,40372
World Sake Imports- New York,"285 W Broadway, Ste 350",10013,-10467,5,1,40.72085,-74.00464,https://www.yelp.com/biz/world-sake-imports-new-york-new-york?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,50,50154,0.6,84,83725
Threes Brewing,"333 Douglass St, Brooklyn, NY 11217",11217,-3349,4,187,40.67963,-73.98227,https://www.yelp.com/biz/threes-brewing-brooklyn?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,48,47796,0.8,82,81862
Woods Polk Station,"2255 Polk St, San Francisco, CA 94109",94109,-6427,4.5,52,37.7976772,-122.4224784,https://www.yelp.com/biz/woods-polk-station-san-francisco?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,47,47129,1.2,61,60722
